BOOK,CHAPTER,SECTION,AGENT.EXPONENCE,AGENT.PP,ASPECT,AGENT.NOMINALITY,SUBJECT.ANIMACY,PARTICIPLE,AGENT.STATUS,PERFECTIVE,LEMMA
3,73,1,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NA,ἄρχω
3,74,3,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NA,ἄρχω
3,74,3,PP,HYPO,IMPERFECTIVE,PRONOUN,ANIMATE,NON.PARTICIPLE,STRESSED.PRO,NA,ἄρχω
3,75,2,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,NA,ἀναγκάζω
3,79,3,PP,HYPO,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NA,καλέω
3,81,1,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,STRESSED.PRO,NA,λέγω
3,82,4,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NA,θαυμάζω
3,83,2,PP,HYPO,IMPERFECTIVE,PRONOUN,ANIMATE,NON.PARTICIPLE,STRESSED.PRO,NA,ἄρχω
3,85,1,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,STRESSED.PRO,NA,δοκέω
3,87,1,PP,HYPO,IMPERFECTIVE,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NA,λέγω
3,90,1,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NA,τάσσω
3,97,1,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NA,λέγω
3,97,4,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NA,ἄρχω
3,105,1,PP,HYPO,IMPERFECTIVE,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NA,λέγω
3,108,3,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NA,θηρεύω
3,108,3,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NA,θηρεύω
3,108,3,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NA,θηρεύω
3,111,3,PP,EK,IMPERFECTIVE,PRONOUN,INANIMATE,PARTICIPLE,STRESSED.PRO,NA,συλλέγω
3,115,1,PP,HYPO,IMPERFECTIVE,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NA,καλέω
3,115,2,PP,HYPO,PERFECTIVE,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,NA,ποιέω
3,120,1,PP,HYPO,PERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NA,καθίστημι
3,124,1,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NA,λούω
3,124,1,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NA,χρίω
3,125,4,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NA,λούω
3,125,4,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NA,χρίω
3,126,1,PP,HYPO,PERFECT,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,NA,ἀφαιρέω
3,127,3,PP,HYPO,IMPERFECTIVE,PRONOUN,ANIMATE,PARTICIPLE,STRESSED.PRO,NA,πέμπω
3,130,5,DAT,NA,PERFECTIVE,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NA,συλλέγω
3,134,1,PP,HYPO,PERFECTIVE,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,NA,διδάσκω
3,134,2,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NA,ἄρχω
3,142,2,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NA,ποιέω
3,146,2,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NA,ποιέω
3,157,4,DAT,NA,PERFECT,PRONOUN,ANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NA,ἀποδείκνυμι
4,1,2,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,λέγω
4,7,2,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,λέγω
4,10,2,PP,HYPO,PERFECTIVE,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,ἐκβάλλω
4,11,1,PP,HYPO,PERFECTIVE,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,πιέζω
4,13,2,PP,HYPO,PERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,ἐξωθέω
4,13,2,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,πιέζω
4,14,3,PP,HYPO,IMPERFECTIVE,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,καλέω
4,23,5,PP,HYPO,IMPERFECTIVE,PRONOUN,ANIMATE,NON.PARTICIPLE,STRESSED.PRO,NON.PERFECTIVE,ἀδικέω
4,25,2,PP,HYPO,IMPERFECTIVE,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,οἰκέω
4,32,1,DAT,NA,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,λέγω
4,33,4,DAT,NA,PERFECTIVE,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,ἀποπέμπω
4,35,2,PP,PROS,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,STRESSED.PRO,NON.PERFECTIVE,δίδωμι
4,43,2,PP,HYPO,PERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,ἀνασκολοπίζω
4,44,1,PP,HYPO,PERFECTIVE,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,ἐξευρίσκω
4,45,1,PP,PROS,IMPERFECTIVE,PRONOUN,INANIMATE,NON.PARTICIPLE,STRESSED.PRO,NON.PERFECTIVE,γιγνώσκω
4,45,3,PP,HYPO,IMPERFECTIVE,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,λέγω
4,45,4,PP,PROS,IMPERFECTIVE,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,γιγνώσκω
4,45,5,PP,HYPO,IMPERFECTIVE,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,καλέω
4,46,2,DAT,NA,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,ἐξευρίσκω
4,46,2,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,ἀνευρίσκω
4,47,1,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,ἐξευρίσκω
4,61,1,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,ἐξευρίσκω
4,62,1,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,ἐνιδρύω
4,62,2,DAT,NA,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,ἱδρύω
4,65,1,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,νομίζω
4,66,1,DAT,NA,PERFECT,PRONOUN,ANIMATE,NON.PARTICIPLE,STRESSED.PRO,NON.PERFECTIVE,αἱρέω
4,66,1,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,STRESSED.PRO,NON.PERFECTIVE,κατεργάζομαι
4,77,1,PP,HYPO,IMPERFECTIVE,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,λέγω
4,77,1,PP,HYPO,PERFECTIVE,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,ἀποπέμπω
4,77,2,PP,HYPO,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,πλάσσω
4,83,2,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,παρασκευάζω
4,86,4,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,μετρέω
4,86,4,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,μετρέω
4,86,4,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,μετρέω
4,90,1,PP,HYPO,IMPERFECTIVE,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,λέγω
4,96,2,PP,HYPO,PERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,χειρόω
4,97,4,PP,HYPO,PERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,ἡσσάομαι
4,98,2,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,μεθίημι
4,101,3,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,συμβάλλω
4,105,2,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,λέγω
4,105,2,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,λέγω
4,109,1,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,καλέω
4,118,1,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,καταστρέφω
4,123,2,PP,HYPO,IMPERFECTIVE,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,νέμω
4,129,2,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,δηλόω
4,132,2,DAT,NA,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,ἀποδείκνυμι
4,136,1,PP,HYPO,PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,προδίδωμι
4,142,1,DAT,NA,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,ἀπορρίπτω
4,145,2,PP,HYPO,PERFECTIVE,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,ἐξελαύνω
4,145,2,PP,HYPO,PERFECTIVE,PRONOUN,ANIMATE,PARTICIPLE,STRESSED.PRO,PERFECTIVE,ἐξελαύνω
4,145,4,PP,HYPO,PERFECTIVE,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,ἐκβάλλω
4,147,3,PP,HYPO,IMPERFECTIVE,PRONOUN,ANIMATE,NON.PARTICIPLE,STRESSED.PRO,NON.PERFECTIVE,ἄρχω
4,153,1,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,κτίζω
4,154,2,PP,HYPO,PERFECTIVE,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,ἀναγιγνώσκω
4,159,4,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,στερίσκω
4,159,4,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,περιυβρίζω
4,165,2,PP,EK,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,ποιέω
4,166,1,PP,HYPO,PERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,καθίστημι
4,166,1,DAT,NA,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,κατεργάζομαι
4,168,2,PP,HYPO,IMPERFECTIVE,PRONOUN,ANIMATE,NON.PARTICIPLE,STRESSED.PRO,NON.PERFECTIVE,διαπαρθενεύω
4,176,1,PP,HYPO,PERFECTIVE,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,φιλέω
4,179,1,DAT,NA,PERFECTIVE,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,PERFECTIVE,ἐξεργάζομαι
4,181,2,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,λέγω
4,187,3,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,ἐξευρίσκω
4,191,4,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,λέγω
4,200,1,PP,HYPO,PERFECTIVE,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,στέλλω
4,202,1,PP,EK,PERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,παραδίδωμι
5,1,1,PP,HYPO,PERFECTIVE,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,καταλείπω
5,1,1,PP,HYPO,PERFECTIVE,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,περιέπω
5,2,2,PP,EK,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,ἐντέλλω
5,3,1,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,ἄρχω
5,4,1,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,λέγω
5,5,1,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,φιλέω
5,5,1,PP,HYPO,PERFECTIVE,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,ἐγκωμιάζω
5,5,1,PP,HYPO,PERFECTIVE,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,ἐγκωμιάζω
5,5,1,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,σφάζω
5,12,3,PP,EK,IMPERFECTIVE,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,ποιέω
5,16,1,PP,HYPO,PERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,χειρόω
5,20,4,PP,PROS,IMPERFECTIVE,PRONOUN,ANIMATE,PARTICIPLE,STRESSED.PRO,NON.PERFECTIVE,τιμάω
5,23,1,PP,EK,IMPERFECTIVE,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,ποιέω
5,26,1,PP,HYPO,IMPERFECTIVE,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,οἰκέω
5,32,1,PP,EK,IMPERFECTIVE,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,λέγω
5,34,3,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,καταδαπανάω
5,34,3,DAT,NA,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,προσαναισιμόομαι
5,35,3,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,λέγω
5,36,4,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,δηλόω
5,42,2,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,βασιλεύω
5,46,1,PP,HYPO,PERFECTIVE,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,ἡσσάομαι
5,46,1,PP,HYPO,PERFECTIVE,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,ἡσσάομαι
5,48,1,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,βασιλεύω
5,49,8,DAT,NA,IMPERFECTIVE,PRONOUN,INANIMATE,NON.PARTICIPLE,STRESSED.PRO,NON.PERFECTIVE,ἔχω
5,54,1,DAT,NA,PERFECT,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,λέγω
5,61,2,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,ἐξανίστημι
5,62,1,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,ἀφηγέομαι
5,63,3,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,ποιέω
5,68,1,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,ποιέω
5,73,1,PP,HYPO,PERFECTIVE,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,διώκω
5,74,1,PP,HYPO,PERFECT,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,περιυβρίζω
5,77,3,PP,HYPO,PERFECT,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,περιφλεύω
5,81,1,PP,HYPO,PERFECTIVE,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,περιέπω
5,82,1,PP,EK,IMPERFECTIVE,NOUN,INANIMATE,PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,προοφείλω
5,85,1,PP,APO,PERFECTIVE,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,πέμπω
5,87,1,PP,HYPO,IMPERFECTIVE,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,λέγω
5,87,1,PP,HYPO,IMPERFECTIVE,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,λέγω
5,87,1,PP,HYPO,IMPERFECTIVE,NOUN,INANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,ὁμολογέω
5,91,2,PP,DIA,PERFECTIVE,PRONOUN,ANIMATE,PARTICIPLE,STRESSED.PRO,PERFECTIVE,ἐλευθερόω
5,92C,2,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,STRESSED.PRO,NON.PERFECTIVE,βουλεύω
5,93,1,PP,HYPO,IMPERFECTIVE,NOUN,ANIMATE,NON.PARTICIPLE,NON.PRONOMINAL,NON.PERFECTIVE,ἀνιάω
5,96,2,DAT,NA,PERFECT,PRONOUN,INANIMATE,NON.PARTICIPLE,ENCLITIC.PRO,NON.PERFECTIVE,δοκέω
5,97,1,PP,HYPO,PERFECTIVE,NOUN,ANIMATE,PARTICIPLE,NON.PRONOMINAL,PERFECTIVE,ἐξελαύνω
